,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
40,Amadou Onana,Midfielder,20,10.0,France,Ligue 1,LOSC Lille,England,Premier League,Everton FC,35.0,False
41,Nayef Aguerd,Defender,26,12.0,France,Ligue 1,Stade Rennais FC,England,Premier League,West Ham United,35.0,False
42,Sébastien Haller,Forward,28,35.0,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Borussia Dortmund,31.0,False
43,Karim Adeyemi,Forward,20,35.0,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,Borussia Dortmund,30.0,False
44,Yves Bissouma,Midfielder,25,35.0,England,Premier League,Brighton & Hove Albion,England,Premier League,Tottenham Hotspur,29.2,False
45,Timo Werner,Forward,26,35.0,England,Premier League,Chelsea FC,Germany,Bundesliga,RB Leipzig,20.0,False
46,Ryan Gravenberch,Midfielder,20,35.0,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,18.5,False
47,Paulo Dybala,Forward,28,35.0,Italy,Serie A,Juventus FC,Italy,Serie A,AS Roma,0,False
48,Niklas Süle,Defender,26,35.0,Germany,Bundesliga,Bayern Munich,Germany,Bundesliga,Borussia Dortmund,0,False
49,Andreas Christensen,Defender,26,35.0,England,Premier League,Chelsea FC,Spain,LaLiga,FC Barcelona,0,False
50,Nico Schlotterbeck,Defender,22,33.0,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,Borussia Dortmund,20.0,False
51,Brenden Aaronson,Midfielder,21,25.0,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leeds United,32.84,False
52,Steven Bergwijn,Forward,24,18.0,England,Premier League,Tottenham Hotspur,Netherlands,Eredivisie,Ajax Amsterdam,31.25,False
53,Charles De Ketelaere,Midfielder,21,30.0,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,AC Milan,35.5,False
54,Manuel Akanji,Defender,27,30.0,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,17.5,False
55,Frank Anguissa,Midfielder,26,30.0,England,Premier League,Fulham FC,Italy,Serie A,SSC Napoli,16.0,False
56,Renan Lodi,Defender,24,30.0,Spain,LaLiga,Atlético de Madrid,England,Premier League,Nottingham Forest,5.0,True
57,Tanguy Ndombélé,Midfielder,25,30.0,England,Premier League,Tottenham Hotspur,Italy,Serie A,SSC Napoli,500k,True
58,Angeliño,Defender,25,30.0,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,TSG 1899 Hoffenheim,0,True
59,Morgan Gibbs-White,Midfielder,22,11.0,England,Premier League,Wolverhampton Wanderers,England,Premier League,Nottingham Forest,29.5,False
60,Leander Dendoncker,Midfielder,27,28.0,England,Premier League,Wolverhampton Wanderers,England,Premier League,Aston Villa,15.0,False
61,Renato Sanches,Midfielder,24,28.0,France,Ligue 1,LOSC Lille,France,Ligue 1,Paris Saint-Germain,15.0,False
62,Giacomo Raspadori,Forward,22,28.0,Italy,Serie A,US Sassuolo,Italy,Serie A,SSC Napoli,5.0,True
63,Hugo Ekitiké,Forward,20,28.0,France,Ligue 1,Stade Reims,France,Ligue 1,Paris Saint-Germain,0,True
64,Mohamed Camara,Midfielder,22,27.0,Austria,Bundesliga,Red Bull Salzburg,Monaco,Ligue 1,AS Monaco,15.0,False
65,Xaver Schlager,Midfielder,24,27.0,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,RB Leipzig,12.0,False
66,Denis Zakaria,Midfielder,25,27.0,Italy,Serie A,Juventus FC,England,Premier League,Chelsea FC,3.0,True
67,David Raum,Defender,24,20.0,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,RB Leipzig,26.0,False
68,Luis Sinisterra,Forward,23,25.0,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Leeds United,25.0,False
69,Merih Demiral,Defender,24,25.0,Italy,Serie A,Juventus FC,Italy,Serie A,Atalanta BC,21.0,False
70,João Palhinha,Midfielder,26,25.0,Portugal,Liga Portugal,Sporting CP,England,Premier League,Fulham FC,20.0,False
71,Sasa Kalajdzic,Forward,25,25.0,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Wolverhampton Wanderers,18.0,False
72,Mattéo Guendouzi,Midfielder,23,25.0,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,11.0,False
73,Pedro Porro,Defender,22,25.0,England,Premier League,Manchester City,Portugal,Liga Portugal,Sporting CP,8.77,False
74,Raúl de Tomás,Forward,27,25.0,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,Rayo Vallecano,8.0,False
75,Lucas Ocampos,Forward,28,25.0,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,Ajax Amsterdam,4.0,True
76,Sergio Reguilón,Defender,25,25.0,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Atlético de Madrid,0,True
77,Callum Hudson-Odoi,Forward,21,25.0,England,Premier League,Chelsea FC,Germany,Bundesliga,Bayer 04 Leverkusen,0,True
78,Conor Coady,Defender,29,25.0,England,Premier League,Wolverhampton Wanderers,England,Premier League,Everton FC,0,True
79,Boubacar Kamara,Midfielder,22,25.0,France,Ligue 1,Olympique Marseille,England,Premier League,Aston Villa,0,False
80,Nicolas Pépé,Forward,27,25.0,England,Premier League,Arsenal FC,France,Ligue 1,OGC Nice,0,True
81,Lorenzo Insigne,Forward,31,25.0,Italy,Serie A,SSC Napoli,Canada,MLS,Toronto FC,0,False
82,Nathan Collins,Defender,21,10.0,England,Championship,Burnley FC,England,Premier League,Wolverhampton Wanderers,24.3,False
83,Filip Kostic,Midfielder,29,24.0,Germany,Bundesliga,Eintracht Frankfurt,Italy,Serie A,Juventus FC,13.0,False
84,Joaquín Correa,Forward,27,23.0,Italy,Serie A,SS Lazio,Italy,Serie A,Inter Milan,27.3,False
85,Calvin Bassey,Defender,22,10.0,Scotland,Premiership,Rangers FC,Netherlands,Eredivisie,Ajax Amsterdam,23.0,False
86,Sofiane Diop,Forward,22,20.0,Monaco,Ligue 1,AS Monaco,France,Ligue 1,OGC Nice,22.0,False
87,Jérémie Boga,Forward,25,19.0,Italy,Serie A,US Sassuolo,Italy,Serie A,Atalanta BC,22.0,False
88,Thilo Kehrer,Defender,25,22.0,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,12.0,False
89,Cengiz Ünder,Forward,24,22.0,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,8.4,False
90,Julian Weigl,Midfielder,26,22.0,Portugal,Liga Portugal,SL Benfica,Germany,Bundesliga,Borussia Mönchengladbach,0,True
91,James Tarkowski,Defender,29,22.0,England,Championship,Burnley FC,England,Premier League,Everton FC,0,False
92,Mauro Icardi,Forward,29,22.0,France,Ligue 1,Paris Saint-Germain,Turkey,Süper Lig,Galatasaray,0,True
93,Jan Bednarek,Defender,26,22.0,England,Premier League,Southampton FC,England,Premier League,Aston Villa,0,True
94,Giovani Lo Celso,Midfielder,26,22.0,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Villarreal CF,0,True
95,Maxwel Cornet,Forward,25,15.0,England,Championship,Burnley FC,England,Premier League,West Ham United,20.7,False
96,Taiwo Awoniyi,Forward,24,20.0,Germany,Bundesliga,1.FC Union Berlin,England,Premier League,Nottingham Forest,20.5,False
97,David Carmo,Defender,22,15.0,Portugal,Liga Portugal,SC Braga,Portugal,Liga Portugal,FC Porto,20.28,False
98,Nahuel Molina,Defender,24,20.0,Italy,Serie A,Udinese Calcio,Spain,LaLiga,Atlético de Madrid,20.0,False
99,Mathys Tel,Forward,17,2.0,France,Ligue 1,Stade Rennais FC,Germany,Bundesliga,Bayern Munich,20.0,False
100,Arnaud Kalimuendo,Forward,20,18.0,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,Stade Rennais FC,20.0,False
101,Philippe Coutinho,Forward,30,20.0,Spain,LaLiga,FC Barcelona,England,Premier League,Aston Villa,20.0,False
102,Umar Sadiq,Forward,25,18.0,Spain,LaLiga,UD Almería,Spain,LaLiga,Real Sociedad,20.0,False
103,Neco Williams,Defender,21,8.0,England,Premier League,Liverpool FC,England,Premier League,Nottingham Forest,20.0,False
104,Pervis Estupiñán,Defender,24,20.0,Spain,LaLiga,Villarreal CF,England,Premier League,Brighton & Hove Albion,17.8,False
105,David Neres,Forward,25,20.0,Ukraine,Premier Liga,Shakhtar Donetsk,Portugal,Liga Portugal,SL Benfica,15.3,False
106,Dodô,Defender,23,20.0,Ukraine,Premier Liga,Shakhtar Donetsk,Italy,Serie A,ACF Fiorentina,14.5,False
107,Adam Hlozek,Forward,19,20.0,Czech Republic,Fortuna Liga,AC Sparta Prague,Germany,Bundesliga,Bayer 04 Leverkusen,13.0,False
108,Nordi Mukiele,Defender,24,20.0,Germany,Bundesliga,RB Leipzig,France,Ligue 1,Paris Saint-Germain,12.0,False
109,Remo Freuler,Midfielder,30,20.0,Italy,Serie A,Atalanta BC,England,Premier League,Nottingham Forest,9.0,False
110,Lucas Torreira,Midfielder,26,20.0,England,Premier League,Arsenal FC,Turkey,Süper Lig,Galatasaray,6.0,False
111,Trincão,Forward,22,20.0,Spain,LaLiga,FC Barcelona,Portugal,Liga Portugal,Sporting CP,3.0,True
112,Antonin Barak,Midfielder,27,20.0,Italy,Serie A,Hellas Verona,Italy,Serie A,ACF Fiorentina,1.46,True
113,Andrea Belotti,Forward,28,20.0,Italy,Serie A,Torino FC,Italy,Serie A,AS Roma,0,False
114,Noussair Mazraoui,Defender,24,20.0,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,0,False
115,Héctor Bellerín,Defender,27,20.0,England,Premier League,Arsenal FC,Spain,LaLiga,FC Barcelona,0,False
116,Christian Eriksen,Midfielder,30,20.0,England,Premier League,Brentford FC,England,Premier League,Manchester United,0,False
117,Nico González,Midfielder,20,20.0,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Valencia CF,0,True
118,Andrea Pinamonti,Forward,23,20.0,Italy,Serie A,Inter Milan,Italy,Serie A,US Sassuolo,0,True
119,Arthur Theate,Defender,22,15.0,Italy,Serie A,Bologna FC 1909,France,Ligue 1,Stade Rennais FC,19.0,False
120,Hassane Kamara,Defender,28,4.0,England,Championship,Watford FC,Italy,Serie A,Udinese Calcio,19.0,False
121,Keane Lewis-Potter,Forward,21,12.0,England,Championship,Hull City,England,Premier League,Brentford FC,19.0,False
122,Min-jae Kim,Defender,25,14.0,Turkey,Süper Lig,Fenerbahce,Italy,Serie A,SSC Napoli,18.05,False
123,Destiny Udogie,Defender,19,17.0,Italy,Serie A,Udinese Calcio,England,Premier League,Tottenham Hotspur,18.0,False
124,Carney Chukwuemeka,Midfielder,18,6.0,England,Premier League,Aston Villa,England,Premier League,Chelsea FC,18.0,False
125,Dwight McNeil,Forward,22,18.0,England,Championship,Burnley FC,England,Premier League,Everton FC,17.0,False
126,Aaron Hickey,Defender,20,18.0,Italy,Serie A,Bologna FC 1909,England,Premier League,Brentford FC,16.5,False
127,Gaëtan Laborde,Forward,28,18.0,France,Ligue 1,Stade Rennais FC,France,Ligue 1,OGC Nice,15.0,False
128,Brais Méndez,Midfielder,25,18.0,Spain,LaLiga,Celta de Vigo,Spain,LaLiga,Real Sociedad,14.0,False
129,Neal Maupay,Forward,26,18.0,England,Premier League,Brighton & Hove Albion,England,Premier League,Everton FC,11.8,False
130,Moussa Niakhaté,Defender,26,18.0,Germany,Bundesliga,1.FSV Mainz 05,England,Premier League,Nottingham Forest,10.0,False
131,Mattia Zaccagni,Forward,27,18.0,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,7.1,False
132,Zeki Celik,Defender,25,18.0,France,Ligue 1,LOSC Lille,Italy,Serie A,AS Roma,7.0,False
133,Arthur Melo,Midfielder,26,18.0,Italy,Serie A,Juventus FC,England,Premier League,Liverpool FC,4.5,True
134,Julian Draxler,Forward,28,18.0,France,Ligue 1,Paris Saint-Germain,Portugal,Liga Portugal,SL Benfica,2.5,True
135,Abdou Diallo,Defender,26,18.0,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,RB Leipzig,1.5,True
136,Sergiño Dest,Defender,21,18.0,Spain,LaLiga,FC Barcelona,Italy,Serie A,AC Milan,0,True
137,Georginio Wijnaldum,Midfielder,31,18.0,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,AS Roma,0,True
138,Matthias Ginter,Defender,28,18.0,Germany,Bundesliga,Borussia Mönchengladbach,Germany,Bundesliga,SC Freiburg,0,False
139,Nathan Redmond,Forward,28,18.0,England,Premier League,Southampton FC,Turkey,Süper Lig,Besiktas JK,0,False
140,Alex Telles,Defender,29,18.0,England,Premier League,Manchester United,Spain,LaLiga,Sevilla FC,0,True
141,Jesse Lingard,Midfielder,29,18.0,England,Premier League,Manchester United,England,Premier League,Nottingham Forest,0,False
142,Dean Henderson,Goalkeeper,25,18.0,England,Premier League,Manchester United,England,Premier League,Nottingham Forest,0,True
143,Daniel James,Forward,24,18.0,England,Premier League,Leeds United,England,Premier League,Fulham FC,0,True
144,André Gomes,Midfielder,29,18.0,England,Premier League,Everton FC,France,Ligue 1,LOSC Lille,0,True
145,Issa Diop,Defender,25,10.0,England,Premier League,West Ham United,England,Premier League,Fulham FC,17.8,False
146,Matt Targett,Defender,26,17.0,England,Premier League,Aston Villa,England,Premier League,Newcastle United,17.5,False
147,Tyler Adams,Midfielder,23,17.0,Germany,Bundesliga,RB Leipzig,England,Premier League,Leeds United,17.0,False
148,Wout Faes,Defender,24,10.0,France,Ligue 1,Stade Reims,England,Premier League,Leicester City,17.0,False
149,Roman Yaremchuk,Forward,26,15.0,Portugal,Liga Portugal,SL Benfica,Belgium,Jupiler Pro League,Club Brugge KV,17.0,False
150,Tyrell Malacia,Defender,22,17.0,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Manchester United,15.0,False
151,Marcos Senesi,Defender,25,17.0,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,AFC Bournemouth,15.0,False
152,Jordan Veretout,Midfielder,29,17.0,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,11.0,False
153,Giovanni Simeone,Forward,26,17.0,Italy,Serie B,Cagliari Calcio,Italy,Serie A,Hellas Verona,10.5,False
154,Destiny Udogie,Defender,19,17.0,Italy,Serie A,Hellas Verona,Italy,Serie A,Udinese Calcio,4.0,False
155,Giovanni Simeone,Forward,27,17.0,Italy,Serie A,Hellas Verona,Italy,Serie A,SSC Napoli,3.5,True
156,Yusuf Yazici,Midfielder,25,17.0,France,Ligue 1,LOSC Lille,Turkey,Süper Lig,Trabzonspor,500k,True
157,Chancel Mbemba,Defender,27,17.0,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Olympique Marseille,0,False
158,Pedrinho,Forward,24,17.0,Ukraine,Premier Liga,Shakhtar Donetsk,Brazil,Série A,Clube Atlético Mineiro,0,True
159,Kasper Dolberg,Forward,24,17.0,France,Ligue 1,OGC Nice,Spain,LaLiga,Sevilla FC,0,True
160,Alessio Romagnoli,Defender,27,17.0,Italy,Serie A,AC Milan,Italy,Serie A,SS Lazio,0,False
161,Destiny Udogie,Defender,19,17.0,England,Premier League,Tottenham Hotspur,Italy,Serie A,Udinese Calcio,0,True
162,Leandro Paredes,Midfielder,28,17.0,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,Juventus FC,0,True
163,Hee-chan Hwang,Forward,26,16.0,Germany,Bundesliga,RB Leipzig,England,Premier League,Wolverhampton Wanderers,16.7,False
164,Mathías Olivera,Defender,24,15.0,Spain,LaLiga,Getafe CF,Italy,Serie A,SSC Napoli,16.5,False
165,Brian Brobbey,Forward,20,9.0,Germany,Bundesliga,RB Leipzig,Netherlands,Eredivisie,Ajax Amsterdam,16.35,False
166,Tanguy Nianzou,Defender,20,9.0,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,Sevilla FC,16.0,False
167,Jerry St. Juste,Defender,25,16.0,Germany,Bundesliga,1.FSV Mainz 05,Portugal,Liga Portugal,Sporting CP,10.0,False
168,Duje Caleta-Car,Defender,25,16.0,France,Ligue 1,Olympique Marseille,England,Premier League,Southampton FC,8.0,False
169,Arkadiusz Milik,Forward,28,16.0,Italy,Serie A,SSC Napoli,France,Ligue 1,Olympique Marseille,8.0,False
170,Matteo Pessina,Midfielder,25,16.0,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,3.2,True
171,Arkadiusz Milik,Forward,28,16.0,France,Ligue 1,Olympique Marseille,Italy,Serie A,Juventus FC,750k,True
172,Randal Kolo Muani,Forward,23,16.0,France,Ligue 1,FC Nantes,Germany,Bundesliga,Eintracht Frankfurt,0,False
173,Dele Alli,Midfielder,26,16.0,England,Premier League,Everton FC,Turkey,Süper Lig,Besiktas JK,0,True
174,Luiz Felipe,Defender,25,16.0,Italy,Serie A,SS Lazio,Spain,LaLiga,Real Betis Balompié,0,False
175,Yuri Alberto,Forward,21,16.0,Russia,Premier Liga,Zenit St. Petersburg,Brazil,Série A,Sport Club Corinthians Paulista,0,True
176,Luka Jovic,Forward,24,16.0,Spain,LaLiga,Real Madrid,Italy,Serie A,ACF Fiorentina,0,False
177,Diadié Samassékou,Midfielder,26,16.0,Germany,Bundesliga,TSG 1899 Hoffenheim,Greece,Super League 1,Olympiacos Piraeus,0,True
178,Bertrand Traoré,Forward,26,16.0,England,Premier League,Aston Villa,Turkey,Süper Lig,Basaksehir FK,0,True
179,Cheick Doucouré,Midfielder,22,15.0,France,Ligue 1,RC Lens,England,Premier League,Crystal Palace,22.6,False
180,Takumi Minamino,Forward,27,12.0,England,Premier League,Liverpool FC,Monaco,Ligue 1,AS Monaco,15.0,False
181,Mikkel Damsgaard,Forward,22,15.0,Italy,Serie A,UC Sampdoria,England,Premier League,Brentford FC,15.0,False
182,Cesare Casadei,Midfielder,19,1.0,Italy,Primavera 1,Inter Milan Primavera,England,Premier League 2,Chelsea FC U21,15.0,False
183,Everton,Forward,26,15.0,Portugal,Liga Portugal,SL Benfica,Brazil,Série A,CR Flamengo,14.0,False
184,Rasmus Kristensen,Defender,24,15.0,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leeds United,13.0,False
185,Orel Mangala,Midfielder,24,15.0,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Nottingham Forest,13.0,False
186,Breel Embolo,Forward,25,15.0,Germany,Bundesliga,Borussia Mönchengladbach,Monaco,Ligue 1,AS Monaco,12.5,False
187,Pierre-Emerick Aubameyang,Forward,33,15.0,Spain,LaLiga,FC Barcelona,England,Premier League,Chelsea FC,12.0,False
188,Nick Pope,Goalkeeper,30,15.0,England,Championship,Burnley FC,England,Premier League,Newcastle United,11.5,False
189,Khvicha Kvaratskhelia,Forward,21,15.0,Georgia,Crystalbet Erovnuli Liga,Dinamo Batumi,Italy,Serie A,SSC Napoli,11.5,False
190,Momo Cho,Forward,18,15.0,France,Ligue 1,Angers SCO,Spain,LaLiga,Real Sociedad,11.0,False
191,Mattias Svanberg,Midfielder,23,15.0,Italy,Serie A,Bologna FC 1909,Germany,Bundesliga,VfL Wolfsburg,9.0,False
192,Jonathan Clauss,Defender,29,15.0,France,Ligue 1,RC Lens,France,Ligue 1,Olympique Marseille,7.5,False
193,Arthur Theate,Defender,22,15.0,Belgium,Jupiler Pro League,KV Oostende,Italy,Serie A,Bologna FC 1909,6.75,False
194,Konstantinos Mavropanos,Defender,24,15.0,England,Premier League,Arsenal FC,Germany,Bundesliga,VfB Stuttgart,3.2,False
195,Fábio Silva,Forward,20,15.0,England,Premier League,Wolverhampton Wanderers,Belgium,Jupiler Pro League,RSC Anderlecht,0,True
196,Nuno Tavares,Defender,22,15.0,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,0,True
197,Amad Diallo,Forward,20,15.0,England,Premier League,Manchester United,England,Championship,Sunderland AFC,0,True
198,Harry Winks,Midfielder,26,15.0,England,Premier League,Tottenham Hotspur,Italy,Serie A,UC Sampdoria,0,True
199,Alexandre Lacazette,Forward,31,15.0,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Lyon,0,False
200,Corentin Tolisso,Midfielder,27,15.0,Germany,Bundesliga,Bayern Munich,France,Ligue 1,Olympique Lyon,0,False
201,Justin Kluivert,Forward,23,15.0,Italy,Serie A,AS Roma,Spain,LaLiga,Valencia CF,0,True
202,Emmanuel Dennis,Forward,24,14.0,England,Championship,Watford FC,England,Premier League,Nottingham Forest,14.8,False
203,Djed Spence,Defender,21,8.0,England,Championship,Middlesbrough FC,England,Premier League,Tottenham Hotspur,14.7,False
204,Diego Rossi,Forward,24,14.5,United States,MLS,Los Angeles FC,Turkey,Süper Lig,Fenerbahce,5.5,False
205,Emerson,Defender,28,14.0,England,Premier League,Chelsea FC,England,Premier League,West Ham United,15.4,False
206,Gavin Bazunu,Goalkeeper,20,5.0,England,Premier League 2,Manchester City U21,England,Premier League,Southampton FC,14.0,False
207,Marcão,Defender,26,14.0,Turkey,Süper Lig,Galatasaray,Spain,LaLiga,Sevilla FC,14.0,False
208,Mohamed Bayo,Forward,24,12.0,France,Ligue 1,Clermont Foot 63,France,Ligue 1,LOSC Lille,14.0,False
209,Sebastian Szymanski,Midfielder,23,14.0,Russia,Premier Liga,Dynamo Moscow,Netherlands,Eredivisie,Feyenoord Rotterdam,2.0,True
210,Wout Weghorst,Forward,29,14.0,England,Championship,Burnley FC,Turkey,Süper Lig,Besiktas JK,0,True
211,Walter Benítez,Goalkeeper,29,14.0,France,Ligue 1,OGC Nice,Netherlands,Eredivisie,PSV Eindhoven,0,False
212,Kayky,Forward,19,14.0,England,Premier League 2,Manchester City U21,Portugal,Liga Portugal,FC Paços de Ferreira,0,True
213,Yangel Herrera,Midfielder,24,14.0,England,Premier League,Manchester City,Spain,LaLiga,Girona FC,0,True
214,Jason Denayer,Defender,27,14.0,France,Ligue 1,Olympique Lyon,United Arab Emirates,UAE Pro League,FC Shabab Al-Ahli Dubai,0,False
215,Éderson,Midfielder,22,13.0,Italy,Serie A,US Salernitana 1919,Italy,Serie A,Atalanta BC,21.4,False
216,Sékou Mara,Forward,19,3.0,France,Ligue 2,FC Girondins Bordeaux,England,Premier League,Southampton FC,13.0,False
217,Sergio Gómez,Defender,21,10.0,Belgium,Jupiler Pro League,RSC Anderlecht,England,Premier League,Manchester City,13.0,False
218,Fredrik Aursnes,Midfielder,26,12.0,Netherlands,Eredivisie,Feyenoord Rotterdam,Portugal,Liga Portugal,SL Benfica,13.0,False
219,Lucas Gourna-Douath,Midfielder,18,10.0,France,Ligue 2,AS Saint-Étienne,Austria,Bundesliga,Red Bull Salzburg,13.0,False
220,Mattia Viti,Defender,20,7.0,Italy,Serie A,FC Empoli,France,Ligue 1,OGC Nice,13.0,False
221,Salih Özcan,Midfielder,24,13.0,Germany,Bundesliga,1.FC Köln,Germany,Bundesliga,Borussia Dortmund,5.0,False
